year,month,revenue_total,revenue_entrepreneur,revenue_legal,tax_total,tax_entrepreneur,tax_legal,checks_total,checks_entrepreneur,checks_legal
2019,2,864537931,499891726,364646205,29805911,14999387,14806524,1040162,763735,276427
2019,3,1523599431,805509429,718090002,53801165,24219589,29581576,1777374,1293890,483484
2019,4,2196265472,1080875818,1115389654,79351375,32536138,46815237,2397330,1778529,618801
2019,5,2396985129,1195449628,1201535501,87719822,35985108,51734714,2546042,1956226,589816
2019,6,2983402272,1427044724,1556357548,111151975,43098488,68053487,2975329,2279118,696211
2019,7,3659491979,1663042869,1996449110,139224411,50375444,88848967,3600335,2707508,892827
2019,8,4202490767,1882637105,2319853662,162166036,57263412,104902624,3865268,2904462,960806
2019,9,4941706749,2131097771,2810608978,193841149,65163938,128677211,4216788,3217948,998840
2019,10,5818841951,2454146839,3364695112,230552152,75435034,155117118,4842590,3780489,1062101
2019,11,6132971826,2582311965,3550659861,245171898,79931708,165240190,5179386,4068395,1110991
2019,12,8977730806,3165512002,5812218804,374664946,98700903,275964043,5817157,4752140,1065017
2020,1,6283059799,3188582823,3094476976,244282521,99005279,145277242,7321470,6097887,1223583
2020,2,8609473867,4164819013,4444654854,335206356,129315981,205890375,9811985,8070941,1741044
2020,3,10412987861,4513213231,5899774630,411093316,139902703,271190613,11281389,9023466,2257923
2020,4,8781308704,3286301282,5495007422,349845370,101668818,248176552,6842450,5940840,901610
2020,5,9663368534,4043258061,5620110473,362985677,122481646,240504031,9247230,8081842,1165388
2020,6,13241534442,5487459023,7754075419,74680166,9968830,64711336,12506439,10569950,1936489
2020,7,16768942824,7280812095,9488130729,167205908,25553872,141652036,16135138,13753718,2381420
2020,8,18986610438,8304330913,10682279525,246503825,44805834,201697991,17581578,15012863,2568715
2020,9,22398085837,9330494269,13067591568,351318090,67178246,284139844,19437763,16139483,3298280
2020,10,25397653447,10589465234,14808188213,440269647,88972259,351297388,23802997,19573815,4229182
2020,11,26859650372,10963094583,15896555789,513133628,106924920,406208708,23862199,19856118,4006081
2020,12,40463304261,13576029703,26887274558,1731189593,439283934,1291905659,27208094,22855445,4352649
2021,1,24401684236,11456644577,12945039659,989226943,370693277,618533666,23674155,20708980,2965175
2021,2,30941135435,13400509605,17540625830,1268868123,432628204,836239919,24714994,21354215,3360779
2021,3,38807018128,15862721960,22944296168,1602750225,510933240,1091816985,29846473,24976416,4870057
2021,4,43890495185,17006692179,26883803006,1827448006,546807969,1280640037,28907280,24594355,4312925
2021,5,40842074496,17092205903,23749868593,1684384742,549978463,1134406279,30152715,23798856,6353859
2021,6,47055197490,17814581373,29240616117,1985074112,574176149,1410897963,29825268,23296264,6529004
2021,7,49969549043,19114472542,30855076501,2114905856,615582024,1499323832,28634295,23884375,4749920
2021,8,53190573588,20562346523,32628227065,2259463715,664834782,1594628933,29105362,24640628,4464734
2021,9,57965870532,21774959786,36190910746,2489723326,706939736,1782783590,31006670,26038967,4967703
2021,10,60106881318,23398776547,36708104771,2573172531,760622455,1812550076,34889441,29249397,5640044
2021,11,60601275003,23436457540,37164817463,2602981675,764087756,1838893919,34954833,30177054,4777779
2021,12,86060498515,28466350321,57594148194,3826720607,934632198,2892088409,39724661,34381095,5343566
2022,1,51295532323,22698908399,28596623924,2182556407,748526363,1434030044,34885633,30474018,4411615
2022,2,60393779294,24445230883,35948548411,2623052152,808843257,1814208895,36083266,31197630,4885636
2022,3,67084013628,26130763973,40953249655,2938523096,865741566,2072781530,40447780,34941806,5505974
2022,4,66615804985,26659136125,39956668860,2915355727,883897944,2031457783,40615967,35494021,5121946
2022,5,63017146161,26634191893,36382954268,2736617361,883785909,1852831452,39424143,34798763,4625380
2022,6,69449725715,27308138036,42141587679,3066804866,907812581,2158992285,39076780,34259596,4817184
2022,7,71765409746,28628003686,43137406060,3169449503,953130981,2216318522,39540609,34482323,5058286
2022,8,77497397044,30125664722,47371732322,3444986359,1004229075,2440757284,40078759,34662485,5416274
2022,9,80353688166,30323243382,50030444784,3609725198,1015017096,2594708102,40006668,34644365,5362303
2022,10,80891969020,31006991674,49884977346,3621846075,1038151867,2583694208,41048443,35758385,5290058
2022,11,85163342074,31882858598,53280483476,3830219353,1068770794,2761448559,42723311,37205656,5517655
2022,12,125765475472,39767927542,85997547930,5826739623,1337991915,4488747708,49420423,42540894,6879529
2023,1,71432227568,30781131911,40651095657,3166277864,1038868538,2127409326,44576347,39285381,5290966
2023,2,81980741369,32812345745,49168395624,3689856519,1110340213,2579516306,47140696,41469872,5670824
2023,3,102150469969,38625873593,63524596376,4653580431,1309538472,3344041959,54287036,47551521,6735515
2023,4,98656902977,37713496734,60943406243,4485635709,1278683892,3206951817,49793580,43630666,6162914
2023,5,102073228925,38591690615,63481538310,4649749237,1308915025,3340834212,49181044,42835602,6345442
2023,6,110926909847,39551552508,71375357339,5116422643,1343634638,3772788005,49511001,43112668,6398333
2023,7,108722744296,39871713237,68851031059,4990850987,1354226736,3636624251,48820600,42320778,6499822
2023,8,123164311982,43838197150,79326114832,5687146845,1490442691,4196704154,51546149,44602785,6943364
2023,9,120809037198,43327212947,77481824251,5582602453,1472969002,4109633451,51744012,44893467,6850545
2023,10,129519537937,46816365935,82703172002,5964033146,1591603367,4372429779,56051747,48637292,7414455
2023,11,133046523907,46412021291,86634502616,6156065836,1576911176,4579154660,57330286,49685693,7644593
2023,12,186018913371,56666973926,129351939445,8825386494,1920505049,6904881445,67430896,57873606,9557290
2024,1,116663860634,48382258436,68281602198,5290081158,1644320955,3645760203,61072004,53813098,7258906
2024,2,136254025211,51984134922,84269890289,6275837429,1769696042,4506141387,65780895,57379520,8401375
2024,3,149904645158,57931025144,91973620014,6897166416,1974226912,4922939504,75749188,66295377,9453811
2024,4,164989276522,67763215176,97226061346,7505020505,2296112733,5208907772,96169173,85900583,10268590
2024,5,180569840155,80547985232,100021854923,8060727503,2704836876,5355890627,129333176,117955409,11377767
2024,6,183192570323,83161560425,100031009898,8163026177,2797025941,5366000236,127339922,116933636,10406286
2024,7,195171775579,87819841322,107351934257,8721174509,2964117688,5757056821,133112640,122644908,10467732
2024,8,197135574172,91687846598,105447727574,8756704166,3111511204,5645192962,144576293,131878038,12698255
2024,9,198312253912,93170977737,105141276175,8820558778,3185791871,5634766907,150831598,136606224,14225374
2024,10,224139631113,104113964375,120025666738,10018771817,3577485900,6441285917,168306201,151860282,16445919
2024,11,219509880144,103817534376,115692345768,9799473152,3585763345,6213709807,169890760,154111630,15779130
2024,12,278173658969,119652795653,158520863316,12727456558,4151768200,8575688358,195755482,176852675,18902807
2025,1,182922692401,100815517744,82107174657,7937504922,3505669376,4431835546,181862241,165491740,16370501
2025,2,206320005073,109641607009,96678398064,9073591055,3832563538,5241027517,197003923,176443904,20560019
2025,3,232149182823,123277518721,108871664102,10230649530,4333613646,5897035884,230294932,201209526,29085406
2025,4,253448924489,129518094862,123930829627,11313973945,4577417778,6736556167,215686994,190501961,25185033
2025,5,242489981844,129568813028,112921168816,10723770926,4593235475,6130535451,214510504,189904413,24606091
2025,6,257082311173,134530956476,122551354697,11441778207,4781011007,6660767200,212589076,188547948,24041128
2025,7,272027556387,139647186544,132380369843,12135517602,4968288333,7167229269,212052786,188183636,23869150
2025,8,265043558224,136446592579,128596965645,11799399606,4861604476,6937795130,201662464,180013420,21649044
2025,9,268465718604,132825647160,135640071444,12061730461,4730492863,7331237598,199979101,177476658,22502443
2025,10,277485915304,137948670494,139537244810,12445515337,4897352661,7548162676,212167970,187761055,24406915
2025,11,260739636405,133879691627,126859944778,11592801638,4736702008,6856099630,202540160,180486329,22053831
2025,12,329688093405,150341363673,179346729732,15057305093,5299101899,9758203194,221062507,194392685,26669822
