region,wave,npd_start_date,notes
Moscow,1,2019-01-01,Pilot
Moscow Oblast,1,2019-01-01,Pilot
Kaluga Oblast,1,2019-01-01,Pilot
Republic of Tatarstan,1,2019-01-01,Pilot
St. Petersburg,2,2020-01-01,
Volgograd Oblast,2,2020-01-01,
Voronezh Oblast,2,2020-01-01,
Leningrad Oblast,2,2020-01-01,
Nizhny Novgorod Oblast,2,2020-01-01,
Novosibirsk Oblast,2,2020-01-01,
Omsk Oblast,2,2020-01-01,
Rostov Oblast,2,2020-01-01,
Samara Oblast,2,2020-01-01,
Sakhalin Oblast,2,2020-01-01,
Sverdlovsk Oblast,2,2020-01-01,
Tyumen Oblast,2,2020-01-01,
Chelyabinsk Oblast,2,2020-01-01,
Krasnoyarsk Krai,2,2020-01-01,
Perm Krai,2,2020-01-01,
Nenets Autonomous Okrug,2,2020-01-01,
Khanty-Mansiysk Autonomous Okrug,2,2020-01-01,
Yamalo-Nenets Autonomous Okrug,2,2020-01-01,
Republic of Bashkortostan,2,2020-01-01,
Amur Oblast,3,2020-07-01,
Arkhangelsk Oblast,3,2020-07-01,
Astrakhan Oblast,3,2020-07-01,
Belgorod Oblast,3,2020-07-01,
Bryansk Oblast,3,2020-07-01,
Vladimir Oblast,3,2020-07-01,
Ivanovo Oblast,3,2020-07-01,
Irkutsk Oblast,3,2020-07-01,
Kaliningrad Oblast,3,2020-07-01,
Kemerovo Oblast,3,2020-07-01,
Kirov Oblast,3,2020-07-01,
Kostroma Oblast,3,2020-07-01,
Kurgan Oblast,3,2020-07-01,
Kursk Oblast,3,2020-07-01,
Lipetsk Oblast,3,2020-07-01,
Murmansk Oblast,3,2020-07-01,
Novgorod Oblast,3,2020-07-01,
Orenburg Oblast,3,2020-07-01,
Orel Oblast,3,2020-07-01,
Penza Oblast,3,2020-07-01,
Pskov Oblast,3,2020-07-01,
Ryazan Oblast,3,2020-07-01,
Saratov Oblast,3,2020-07-01,
Smolensk Oblast,3,2020-07-01,
Tver Oblast,3,2020-07-01,
Tomsk Oblast,3,2020-07-01,
Tula Oblast,3,2020-07-01,
Yaroslavl Oblast,3,2020-07-01,
Altai Krai,3,2020-07-01,
Kamchatka Krai,3,2020-07-01,
Krasnodar Krai,3,2020-07-01,
Stavropol Krai,3,2020-07-01,
Primorsky Krai,3,2020-07-01,
Khabarovsk Krai,3,2020-07-01,
Republic of Altai,3,2020-07-01,
Republic of Buryatia,3,2020-07-01,
Republic of Dagestan,3,2020-07-01,
Kabardino-Balkaria,3,2020-07-01,
Republic of Komi,3,2020-07-01,
Republic of Crimea,3,2020-07-01,
Republic of Mordovia,3,2020-07-01,
Sakha Republic (Yakutia),3,2020-07-01,
Republic of Khakassia,3,2020-07-01,
Republic of Karelia,3,2020-07-01,
Udmurt Republic,3,2020-07-01,
Chuvash Republic,3,2020-07-01,
Sevastopol,3,2020-07-01,
Chukotka Autonomous Okrug,3,2020-07-01,
Jewish Autonomous Oblast,3,2020-07-01,
Republic of Adygea,3a,2020-07-03,Regional law effective 2 days after Jul 1
Ulyanovsk Oblast,3b,2020-07-09,
Republic of Tyva,3b,2020-07-09,
Republic of North Ossetia-Alania,3c,2020-07-24,
Republic of Kalmykia,3d,2020-08-01,
Vologda Oblast,3d,2020-08-01,
Magadan Oblast,3d,2020-08-01,
Chechen Republic,3e,2020-09-01,
Karachay-Cherkessia,3e,2020-09-01,
Zabaykalsky Krai,3e,2020-09-01,
Tambov Oblast,3f,2020-09-05,
Republic of Mari El,3g,2020-09-06,
Republic of Ingushetia,4,2020-10-19,Last region to join
