Specification,Variable,Coefficient,SE,p_value,N
cohort_2019,wage_growth,0.06608640436283304,0.01698067726149695,9.947898916494426e-05,13854
cohort_2019,dw_x_inf_c,0.10137243177451241,0.018993996348930706,9.445663966083342e-08,13854
cohort_2019,dw_x_post_c,-0.006001925515928241,0.01695650668835698,0.7233688423829925,13854
cohort_2019,dw_x_inf_post_c,-0.05446110972516443,0.07792039023626403,0.484594082657287,13854
cohort_2020,wage_growth,0.05739242336794106,0.005500584413502697,1.7365417168199767e-25,59581
cohort_2020,dw_x_inf_c,0.038800199127279306,0.013664933124501817,0.004519858368295931,59581
cohort_2020,dw_x_post_c,0.015607607861535507,0.014454891827609303,0.2802554198345497,59581
cohort_2020,dw_x_inf_post_c,-0.049345967433221505,0.04271360552450833,0.24797776493847212,59581
weighted_ATT,dw_x_inf_post (weighted),-0.05031097296617687,0.03764429065435265,0.18139129320878133,73435
