group,beta4,se4,p4,N,beta_pre,beta_change,se_change,beta_primary_extra,se_primary_extra,p_primary_extra
Primary,-0.057468268292238535,0.050333127953473014,0.25355448607654474,46030,,,,,,
Secondary,-0.01750948768863867,0.038801464897437576,0.651803310023916,27405,,,,,,
Secondary_formal_wage,,,,24496,0.0317632673107987,-0.002477978252936549,0.017448076195204713,,,
Secondary_informal_wage,,,,1554,0.07288607524549037,0.008715976928726454,0.04227254406168355,,,
Male_Primary,-0.0709623559987504,0.059066949898918725,0.22960052404818798,25700,,,,,,
Male_Secondary,-0.024780875683179434,0.04993317840805894,0.6196963394783863,8782,,,,,,
Female_Primary,-0.05152523981430629,0.07245122583732469,0.4769780282138507,20330,,,,,,
Female_Secondary,-0.03388572182266383,0.062383546061771294,0.587003367378637,18623,,,,,,
Multi-earner,-0.042126894092993625,0.03659294841720265,0.24963769277070746,51317,,,,,,
Single-earner,-0.039274063786404134,0.08187397161266963,0.6314483751558463,22118,,,,,,
4-way interaction,-0.01667357092056673,0.038922864460920886,0.6683783313472167,73435,,,,-0.04060983312187325,0.06357923719523469,0.5229999545700939
Wage share interaction (multi-earner HH),-0.08129588157852326,0.06214479868718784,0.19081609004760414,51317,,,,,,
