variable,coef,se,p
wage_growth,0.05953837547461429,0.005315734010672683,4.058722746377207e-29
dw_x_informal,0.03656424561824713,0.011997788884842236,0.0023069056477502243
dw_x_post,0.00950113608462244,0.011215421188101767,0.396911915027762
dw_x_informal_x_post,-0.032280197014013925,0.03690636470635702,0.38176370790394143
dw_x_inf_x_b2b,0.061327125285977876,0.024586267842245733,0.012618272561583812
dw_x_inf_x_post_x_b2b,-0.05101877326742286,0.06332337431215702,0.42042376804327086
is_informal,-0.007853478007246907,0.006356024582613067,0.21660880406166738
post_npd_int,0.0033323066001249278,0.023149520734301657,0.885542234894029
informal_x_post,0.0062686005403846745,0.014263009211881707,0.6602988761186441
is_b2b,-0.0033010316516912694,0.002988910818398945,0.2694082667386799
