Year,Formal wage Var,Formal wage N,Informal wage Var,Informal wage N,Self-employed Var,Self-employed N
2011,0.36026139832033094,6093,0.43365312989615934,402,0.3894028395404266,504
2012,0.36784118667722354,6481,0.39281810471072137,460,0.2946284924864326,497
2013,0.31304422302605694,6626,0.31802931558568037,470,0.33301344534224936,528
2014,0.283226488191047,5786,0.3439902085402612,454,0.27922212448952266,454
2015,0.29621211550969173,5651,0.35210075687493253,452,0.3032917516623728,457
2016,0.2825872852353047,5778,0.2683308039554329,463,0.2712920461902861,452
2017,0.28669375492659005,5820,0.3538469435470905,522,0.20082588442936347,450
2018,0.2734991719824742,5655,0.3112110479253702,453,0.21593855402901657,457
2019,0.24344036781687825,5580,0.2480153137180555,480,0.21071660527954236,495
2020,0.2220943393316016,5384,0.29857364884415577,395,0.28758640075567393,414
2021,0.22078395412682258,5478,0.24560700288130788,413,0.21079821985671215,437
2022,0.24081818032868105,5336,0.20903861880374525,408,0.2235378709906629,383
2023,0.21632835915856088,5571,0.31762939837159215,413,0.24386332744607145,413
