Variable,N,Mean,Std,Median,Min,Max
Age,268085,38.89393102933771,22.54344567871734,38.0,0.0,104.5
Female,268085,0.5628737154260776,0.4960320692317031,1.0,0.0,1.0
Employed,268085,0.4313930283305668,0.49527164104586324,0.0,0.0,1.0
Monthly wage (RUB),111474,25854.22423461973,22004.166177969848,20000.0,30.0,750000.0
Hours worked/week,7596,67.24174565560821,25.449270745833708,72.0,1.0,100.0
Informal (composite),114747,0.15248328932346816,0.35949028087807766,0.0,0.0,1.0
No official contract,108558,0.06744781591407359,0.25079710414751494,0.0,0.0,1.0
Has envelope wages,97073,0.12016729677665262,0.32515874080805307,0.0,0.0,1.0
Small firm (≤5 employees),77681,0.08828413640401128,0.2837095060763213,0.0,0.0,1.0
Total consumption (RUB/mo),266589,22352.54845678804,16360.566897470917,18933.333333333332,46.0,1703000.0
Food expenditure (RUB/mo),250767,15133.726508990418,11879.171093016086,12000.0,100.0,1700000.0
Clothing expenditure (RUB/mo),201766,5013.253961354572,5571.4474372375935,3333.3333333333335,13.333333333333334,116666.66666666667
Utility expenditure (RUB/mo),249151,4625.3081316149655,3851.513433241599,4000.0,11.0,80000.0
Consumption growth (Δ ln c),222629,0.07403848660594371,0.5528809170920967,0.07145896398214546,-4.880273476233011,5.676558088401331
Wage growth (Δ ln w),82524,0.09615108058246398,0.49814239918499814,0.05715841383994835,-6.214608098422191,7.839919360012582
Saved money (share),264755,0.14704915865611604,0.35415558352080806,0.0,0.0,1.0
Gave transfers (share),0,,,,,
