event_time,group,beta,se,p,N
-5,formal,0.04958902935805543,0.008113178539116188,9.829277480782476e-10,24707
-5,informal,0.11015837731134887,0.018209955035795172,1.4543210301884285e-09,3525
-4,formal,0.09210342945026394,0.013891583908998488,3.3532230181194735e-11,4927
-4,informal,0.11492230159970063,0.05726659847934493,0.044771536214387564,759
-3,formal,0.08583726304764848,0.019178006980939685,7.611941606192512e-06,4944
-3,informal,0.2067925574730793,0.08537477437891826,0.015427962042582366,755
-2,formal,0.05452338243452836,0.013278386531896075,4.0226429567734666e-05,4894
-2,informal,0.060820563622519704,0.03555428637445024,0.08714769827384301,731
-1,formal,0.06121270882555734,0.015025690058110563,4.623828659859205e-05,4827
-1,informal,0.02110922815372589,0.047695953595674814,0.6580702663418951,781
0,formal,0.048502440482482055,0.0200601945286464,0.015612726959474027,4750
0,informal,0.06476685836964739,0.04364861622095111,0.13785565445348094,685
1,formal,0.0646885642863294,0.024321074400646406,0.007819307177598937,4721
1,informal,0.03549726985399626,0.044505320112749075,0.42510491362928704,693
2,formal,0.05695101290502044,0.026681556893354687,0.03280423440601766,4664
2,informal,0.05733543098433721,0.04241035114153541,0.1764006894648611,621
3,formal,0.10960666101150217,0.017901499252002705,9.196567290865455e-10,4735
3,informal,0.1493009606849643,0.0413313115490721,0.0003034970165306095,659
4,formal,0.08282287430724872,0.026820659812841145,0.0020149136066270295,977
4,informal,0.056913674892620565,0.07779136682505469,0.46440088994043005,80
