event_time,group,variance,std,N,mean
-5,formal,0.32701269293033214,0.5718502364521083,29512,0.08577191230903788
-5,informal,0.3441092273070341,0.5866082400606337,4542,0.074101643306494
-4,formal,0.27910718722635774,0.5283059598626139,5775,0.07265226126289664
-4,informal,0.26987679180268187,0.5194966715992335,924,0.07773657462320974
-3,formal,0.2888325050387264,0.5374313956578332,5768,0.025649194277673332
-3,informal,0.2826859666388034,0.5316822045534375,955,0.027135354084867024
-2,formal,0.276751585559699,0.5260718444848564,5717,0.0349981043884379
-2,informal,0.26770874597025407,0.517405784631612,942,0.053821088032013104
-1,formal,0.25089084624249497,0.5008900540462896,5611,0.05245282539488212
-1,informal,0.24583237107334707,0.4958148556400333,950,0.05045744323915558
0,formal,0.21881158340914497,0.4677730041474657,5411,0.0723834331810086
0,informal,0.27568352929703266,0.5250557392287343,846,0.1295966545693152
1,formal,0.21804823285578737,0.46695635005403596,5417,0.11370764572731099
1,informal,0.22991439352822451,0.4794938931083737,848,0.11107747613631247
2,formal,0.2377812081271417,0.4876281453393987,5414,0.1107933203925393
2,informal,0.21481926829667974,0.4634859957934865,789,0.11575141594588556
3,formal,0.23361458460847798,0.4833369265931147,5448,0.13003677033134436
3,informal,0.2680232313499483,0.5177096013692892,822,0.11627332915002496
4,formal,0.20673844807075664,0.454684998730722,1166,0.06166375335450713
4,informal,0.36798846376208777,0.6066205269870842,108,-0.04223803865080752
